timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1756364854.5719025,-445.3125,-978.02734375,-1000.0,-149.90234375
1756364854.5794003,449.21875,-593.26171875,-914.0625,527.34375
1756364854.5868986,999.51171875,-358.88671875,-792.96875,594.7265625
1756364854.5943966,225.09765625,-491.69921875,-875.48828125,-175.78125
1756364854.6018946,-587.890625,-673.828125,-986.328125,-386.23046875
1756364854.6093926,125.9765625,-894.04296875,-1000.0,376.953125
1756364854.6168904,999.51171875,-917.48046875,-998.53515625,731.93359375
1756364854.6243885,537.59765625,-944.82421875,-995.1171875,55.6640625
1756364854.6318865,-531.73828125,-891.6015625,-1000.0,-490.72265625
1756364854.6393845,-155.2734375,-604.4921875,-958.0078125,111.81640625
1756364854.6468823,954.58984375,-381.34765625,-792.96875,764.6484375
1756364854.6543806,686.03515625,-371.58203125,-788.57421875,238.28125
1756364854.6547194,-416.50390625,-722.16796875,-947.75390625,-443.84765625
1756364854.655058,-363.76953125,-905.76171875,-997.55859375,-63.96484375
1756364854.655397,682.6171875,-828.61328125,-1000.0,691.89453125
1756364854.6557355,903.3203125,-807.6171875,-946.77734375,461.42578125
1756364854.6560743,-70.3125,-629.39453125,-900.390625,-346.19140625
1756364854.6564133,-520.99609375,-885.7421875,-990.72265625,-241.2109375
1756364854.656752,366.2109375,-953.61328125,-1000.0,530.2734375
1756364854.657091,999.51171875,-575.68359375,-914.55078125,623.046875
1756364854.6574297,308.10546875,-514.16015625,-875.9765625,-153.80859375
1756364854.6577685,-581.0546875,-655.76171875,-979.00390625,-465.33203125
1756364854.6581073,96.19140625,-909.66796875,-1000.0,325.68359375
1756364854.658446,999.51171875,-850.5859375,-966.796875,759.27734375
1756364854.665665,565.91796875,-512.20703125,-903.80859375,47.8515625
1756364854.6728835,-528.80859375,-677.24609375,-972.65625,-486.81640625
1756364854.6801026,-274.90234375,-729.4921875,-1000.0,90.33203125
1756364854.6873214,835.44921875,-651.85546875,-996.09375,762.20703125
1756364854.6945405,786.62109375,-784.66796875,-1000.0,317.3828125
1756364854.701759,-269.53125,-937.5,-1000.0,-417.48046875
1756364854.708978,-399.4140625,-996.58203125,-997.55859375,-73.2421875
1756364854.7161968,634.27734375,-1000.0,-1000.0,697.75390625
1756364854.7234156,939.94140625,-776.85546875,-950.1953125,450.1953125
1756364854.7306345,-8.30078125,-521.484375,-909.66796875,-331.54296875
1756364854.7378533,-588.37890625,-614.2578125,-983.88671875,-318.359375
1756364854.745072,249.51171875,-584.47265625,-982.421875,454.1015625
1756364854.7474642,999.51171875,-318.84765625,-817.3828125,661.62109375
1756364854.7498562,396.484375,-511.71875,-846.6796875,-63.4765625
1756364854.7522483,-604.4921875,-925.29296875,-1000.0,-467.28515625
1756364854.7546403,-124.51171875,-655.76171875,-985.3515625,199.21875
1756364854.7570324,957.51953125,-397.94921875,-887.20703125,734.375
1756364854.7594247,539.55078125,-702.63671875,-939.453125,162.59765625
1756364854.7618167,-603.02734375,-1000.0,-1000.0,-421.875
1756364854.7642088,-357.421875,-971.6796875,-1000.0,40.52734375
1756364854.7666008,743.1640625,-573.73046875,-918.45703125,710.9375
1756364854.768993,796.875,-636.71875,-904.296875,361.328125
