timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1756366724.2589986,-67.3828125,13.18359375,20.5078125,-3.90625
1756366724.2626324,-20.5078125,16.6015625,15.625,-3.41796875
1756366724.266266,37.59765625,22.94921875,19.04296875,1.953125
1756366724.2698994,-16.6015625,18.06640625,12.6953125,0.9765625
1756366724.273533,-124.0234375,16.11328125,5.37109375,-20.01953125
1756366724.2771666,-78.61328125,18.06640625,-3.41796875,-29.296875
1756366724.2808,39.55078125,20.01953125,-14.16015625,4.8828125
1756366724.2844338,9.765625,16.6015625,-5.37109375,17.578125
1756366724.288067,-70.80078125,21.97265625,13.18359375,-11.23046875
1756366724.2917008,-52.24609375,20.5078125,20.01953125,-15.625
1756366724.2953346,18.06640625,13.671875,7.8125,-2.9296875
1756366724.298968,6.8359375,17.08984375,6.34765625,4.39453125
1756366724.3038473,-63.4765625,18.5546875,8.30078125,-1.46484375
1756366724.3087263,-65.4296875,16.6015625,2.9296875,-11.23046875
1756366724.3136058,24.90234375,21.484375,4.8828125,-6.8359375
1756366724.318485,36.62109375,23.92578125,4.8828125,-11.71875
1756366724.3233645,-30.2734375,15.13671875,10.7421875,-12.6953125
1756366724.3282435,-77.1484375,3.41796875,13.18359375,10.7421875
1756366724.3331227,-47.8515625,-11.71875,6.34765625,13.671875
1756366724.338002,7.32421875,-1.46484375,4.39453125,-0.9765625
1756366724.3428812,-25.87890625,11.23046875,4.8828125,5.859375
1756366724.3477604,-76.66015625,15.625,4.39453125,4.8828125
1756366724.3526397,-58.59375,23.92578125,6.34765625,-8.7890625
1756366724.357519,7.8125,14.6484375,11.23046875,-6.34765625
1756366724.361353,20.5078125,5.859375,7.32421875,-2.44140625
1756366724.3651867,-81.0546875,10.25390625,-6.8359375,-10.7421875
1756366724.3690205,-97.65625,0.48828125,-3.90625,-19.04296875
1756366724.3728545,-5.37109375,1.46484375,6.34765625,-6.34765625
1756366724.3766885,5.37109375,2.9296875,1.953125,-11.71875
1756366724.3805225,-69.3359375,1.46484375,-3.90625,-23.4375
1756366724.384356,-104.00390625,13.18359375,-2.44140625,-18.5546875
1756366724.38819,-62.01171875,15.625,0.48828125,-15.13671875
1756366724.392024,-13.671875,-7.8125,-8.7890625,-23.92578125
1756366724.3958578,-56.640625,-9.27734375,-17.578125,-27.83203125
1756366724.3996916,-108.3984375,-15.625,-18.06640625,-41.9921875
1756366724.4035256,-53.7109375,-11.23046875,3.41796875,-34.1796875
1756366724.4073727,14.16015625,9.27734375,14.6484375,-17.08984375
